material_name,material_type,UTS_MPa,Elongation_pct,Elastic_Mod_MPa,Shear_Mod_MPa,Density_gcm3,Thermal_Cond,Brinell_Hard,Poisson_ratio,Max_Temp_F,Embodied_Energy,Mo_max,Ni_max,Fe_max,Ti_max,N_max
ACI-ASTM CK35MN Cast Stainless Steel,Iron Alloy,650.0,40.0,210000.0,81000.0,8.0,12.0,190.0,0.28,1100.0,81.0,6.8,22.0,51.8,0.06,0.32
EN 1.4409 (GX2CrNiMo19-11-2) Cast Stainless Steel,Iron Alloy,490.0,34.0,200000.0,78000.0,7.8,15.0,140.0,0.28,990.0,52.0,2.5,12.0,71.0,0.06,0.2
ACI-ASTM CN7M (J95150) Cast Stainless Steel,Iron Alloy,480.0,44.0,200000.0,77000.0,8.1,21.0,140.0,0.28,1100.0,78.0,3.0,30.5,48.5,0.06,0.1
EN 1.4557 (GX2CrNiMoCuN20-18-6) Cast Stainless Steel,Iron Alloy,560.0,40.0,200000.0,80000.0,8.0,15.0,160.0,0.28,1090.0,76.0,7.0,19.5,56.3,0.06,0.24
"ASTM Grade HF (19Cr-9Ni,J92603) Cast Stainless Steel",Iron Alloy,550.0,29.0,200000.0,77000.0,7.7,16.0,160.0,0.28,1000.0,46.0,0.5,12.0,73.8,0.06,0.1
"ASTM Grade HG10 MNN (19Cr-12Ni-4Mn, J92604) Cast Stainless Steel",Iron Alloy,590.0,23.0,200000.0,77000.0,7.8,15.0,170.0,0.28,990.0,58.0,0.45,13.5,66.5,0.06,0.3
EN 1.4848 (GX40CrNiSi25-20) Cast Stainless Steel,Iron Alloy,510.0,9.0,200000.0,78000.0,7.8,15.0,150.0,0.28,1100.0,63.0,0.5,22.0,55.7,0.06,0.1
EN 1.4588 (GX2NiCrMoCuN25-20-6) Cast Stainless Steel,Iron Alloy,540.0,34.0,200000.0,80000.0,8.1,15.0,160.0,0.28,1100.0,84.0,7.0,26.0,50.4,0.06,0.25
EN 1.4805 (GX35NiCrSi25-21) Cast Stainless Steel,Iron Alloy,490.0,9.0,200000.0,77000.0,7.9,14.0,140.0,0.28,1000.0,66.0,0.5,27.0,56.8,0.06,0.1
ACI-ASTM CK20 (J94202) Cast Stainless Steel,Iron Alloy,530.0,37.0,200000.0,78000.0,7.8,14.0,150.0,0.28,1100.0,62.0,0.5,22.0,58.0,0.06,0.1
"ACI-ASTM CH20 (SCS17,J93402) Cast Stainless Steel",Iron Alloy,610.0,38.0,200000.0,78000.0,7.8,14.0,190.0,0.27,1100.0,53.0,0.5,15.0,66.0,0.06,0.1
"ACI-ASTM CF20 (SCS12,J92602) Cast Stainless Steel",Iron Alloy,530.0,50.0,200000.0,77000.0,7.8,16.0,160.0,0.28,970.0,44.0,0.7,11.0,74.0,0.06,0.1
EN 1.4587 (GX2NiCrMoCuN29-25-5) Cast Stainless Steel,Iron Alloy,540.0,34.0,200000.0,80000.0,8.1,17.0,160.0,0.28,1100.0,87.0,5.0,30.0,41.9,0.06,0.25
ACI-ASTM CT15C (N08151) Cast Stainless Steel,Iron Alloy,500.0,23.0,200000.0,76000.0,8.0,12.0,140.0,0.28,1080.0,88.0,0.7,34.0,49.2,0.06,0.1
